URL,cluster,Group,is_treatment
https://x.com/JasnicSlobodan/status/2000426925395738960,2,Control,0
https://x.com/JasnicSlobodan/status/2000768536281485742,2,Treatment,1
https://x.com/JasnicSlobodan/status/2003353248980435166,1,Control,0
https://x.com/JasnicSlobodan/status/2003673035635884450,2,Control,0
https://x.com/JasnicSlobodan/status/2004108055819309390,1,Treatment,1
https://x.com/JasnicSlobodan/status/2005267712877203674,2,Control,0
https://x.com/JasnicSlobodan/status/2005908295001808948,2,Treatment,1
https://x.com/JasnicSlobodan/status/2005909205224460387,0,Control,0
https://x.com/JasnicSlobodan/status/2005988740884488507,2,Control,0
https://x.com/JasnicSlobodan/status/2005989284940230919,2,Control,0
https://x.com/JasnicSlobodan/status/2005993330707206602,1,Treatment,1
https://x.com/JasnicSlobodan/status/2005993903854608513,0,Treatment,1
https://x.com/JasnicSlobodan/status/2005994987968950373,1,Control,0
https://x.com/JasnicSlobodan/status/2005995879552147691,1,Control,0
https://x.com/JasnicSlobodan/status/2006351485077196938,0,Treatment,1
https://x.com/JasnicSlobodan/status/2006585148658299187,0,Treatment,1
https://x.com/JasnicSlobodan/status/2008051676297711960,2,Treatment,1
https://x.com/JdDjef/status/1995800067853140331,2,Treatment,1
https://x.com/Jefflee8084Lee/status/1996218089554264392,0,Control,0
https://x.com/JeromeJerome01/status/2004148995216789508,0,Treatment,1
https://x.com/JimThom94025512/status/1998721776566550728,2,Control,0
https://x.com/JimmyfromToledo/status/2001622290061037954,0,Treatment,1
https://x.com/JoeTailor8/status/1997560093450150235,0,Treatment,1
https://x.com/JohPersso/status/2001237913003286658,2,Treatment,1
https://x.com/JohPersso/status/2008113155956670799,0,Control,0
https://x.com/Johan_Scheffer/status/1998012883075215441,0,Control,0
https://x.com/JohnDBravo/status/2008490859747307641,2,Control,0
https://x.com/JohnMMacgregor/status/1999069316545699846,2,Control,0
https://x.com/JohnPaulDetriot/status/1998593388346749069,1,Treatment,1
https://x.com/JohnStauber/status/1996206916280918233,0,Treatment,1
https://x.com/JohnTONKIN14/status/2008756107351847239,2,Control,0
https://x.com/Johnmch02/status/2000882531701588468,2,Treatment,1
https://x.com/JohnnyX666X/status/2001633161521123498,0,Control,0
https://x.com/Jojos467/status/2003720196532437395,0,Control,0
https://x.com/JorgensenFlinke/status/2002940803921162578,0,Control,0
https://x.com/JulesLepo66146/status/2000494272043217074,0,Control,0
https://x.com/JulieBoudicca/status/1998739332086005817,0,Control,0
https://x.com/Junoslav369/status/2008876523726704929,0,Treatment,1
https://x.com/JustAMomOfABoy/status/1998299707488215345,0,Treatment,1
https://x.com/JustJulie1970/status/1996578710145716480,0,Control,0
https://x.com/JustJulie1970/status/1998722568262676533,1,Treatment,1
https://x.com/KDP63806543/status/2005125844591870208,0,Treatment,1
https://x.com/KJ1981ya/status/2006356925638652124,2,Treatment,1
https://x.com/KJanoski50502/status/1999111889117225259,1,Control,0
https://x.com/KarenSquires18/status/1998391903121789107,0,Treatment,1
https://x.com/KarenSquires18/status/2008127448203067681,0,Treatment,1
https://x.com/KateEmerson88/status/1999045806528381250,2,Control,0
https://x.com/Katheri30999098/status/2003092928399581406,0,Treatment,1
https://x.com/Kelly101202A/status/2009261441296044115,0,Treatment,1
https://x.com/KenobiObi69370/status/1999086139224068132,0,Control,0
https://x.com/KentuckyKOT/status/1996467430671942026,0,Treatment,1
https://x.com/KircanskiIvan/status/2000884813692035281,0,Control,0
https://x.com/KircanskiIvan/status/2001591502036730030,0,Treatment,1
https://x.com/KirkZ84926982/status/2002961075160113336,0,Treatment,1
https://x.com/KnowBothSides/status/2008488217709031595,1,Control,0
https://x.com/KobaManitoba/status/1996484737230340529,2,Treatment,1
https://x.com/KobaManitoba/status/1997644415767032157,1,Treatment,1
